"disciplina_id","1 - as VA utilizaram slides com textos e imagens que favoreceram a aprendizagem.","2 - as VA utilizaram materiais relevantes e atualizados que geram engajamento.","3 - as VA foram objetivas e aproveitaram bem o tempo.","4 - as VA foram ministradas com boa dicção, clareza e segurança na exposição dos conteúdos.","5 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","6 - as AC favoreceram a colaboração, induzindo a troca de conhecimentos e experiências entre os alunos.","7 - as AC foram compatíveis com o tempo disponível.","8 - as AC foram relevantes para a compreensão dos conteúdos.","9 - as AC contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","10 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","11 - as AI favoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma.","12 - as AI foram compatíveis com o tempo disponível.","13 - as AI foram relevantes para a compreensão do conteúdo.","14 - as AI contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","15 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","16 - os FD foram abertos com questões geradoras de discussões ricas e relevantes.","17 - os FD foram bem conduzidos e avaliados, com intervenções que proporcionaram a sua aprendizagem.","18 - os FD contaram com materiais e orientações suficientes para a sua participação.","19 - os FD foram devidamente finalizados, com destaques para os principais conteúdos e participações da turma.","20 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","21 - os WB esclareceram suas dúvidas por meio de uma interação ao vivo.","22 - os WB forneceram feedbacks sobre o andamento da disciplina e o desempenho da turma.","23 - os WB colaboraram com a sua aprendizagem.","24 - os WB desempenharam papel importante na revisão dos conteúdos para as Avaliações Presenciais.","25 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","26 - as AS contiveram questões condizentes com o conteúdo ministrado.","27 - as AS foram compatíveis com o tempo disponível.","28 - as AS priorizaram a construção do conhecimento em detrimento da memorização.","29 - as AS apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina.","30 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","31 - as SV disponibilizaram de forma apropriada o plano de ensino e as informações sobre conteúdos, objetivos, metodologia e critérios de avaliação da disciplina.","32 - as SV atenderam às suas necessidades de aprendizagem, apresentando um formato intuitivo e didático.","33 - as SV foram dinâmicas e devidamente atualizadas durante a disciplina.","34 - as SV viabilizam a articulação entre a teoria X prática dos conteúdos.","35 - as SV foram ambientes de interações respeitosas e éticas entre alunos e professores.","36 - as SV relacionaram os conteúdos das disciplinas com a atuação profissional.","37 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","polo","curso","nome"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","RONIVON CARLOS SANTOS DE SOUZA"
"","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","RILLARY KEITI OLIVEIRA SANTOS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo totalmente","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Jequitinhonha","[D17] - Linguística - Letras Português","MARIA NATÁLIA PEREIRA SANTOS MATOS"
"","Concordo","Concordo","Não concordo nem discordo","Discordo","Quanto as VA foran ministradas com boa dicção, discordo em partes, pois alguns professores tem dificuldade de faze-lo.","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","Alguns sim, outros nem tanto. Alguns professores ficam perdidos.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","SHIRLEY MARCOS CARDOSO DIAS"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Concordo plenamente","Discordo","Concordo plenamente","Concordo plenamente","Com relação ao tempo, para algumas atividades apenas achei muito curto para sua realização. Para outras, não.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Muito esclarecedor! Achei um ótimo recurso, principalmente para tirar possíveis dúvidas que possam vir a aparecer nas vésperas da avaliação, e uma forma de retomar todo o conteúdo.","Concordo plenamente","Discordo","Não concordo nem discordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Não concordo nem discordo","Concordo plenamente","Concordo plenamente","sem resposta","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","ANA CECÍLIA LOMMEZ VAZ TEIXEIRA"
"","Concordo","Concordo","Concordo","Discordo","sem resposta","Concordo","Discordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","ANA PAULA PEREIRA DA SILVA"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo","Concordo plenamente","Não concordo nem discordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Geralmente os FD's ficam muito repetitivos, com muitas respostas parecidas que levam todas ao mesmo objetivo sem gerar discussão.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Não concordo nem discordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","Concordo plenamente","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","DARIELLE CHRISTINE MOURA SOUZA DE FREITAS"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo plenamente","Concordo plenamente","Discordo","devem usar menos palavras dificeis nos cabeçalhos para que facilite sua resoluçao","Discordo","Concordo","Não concordo nem discordo","Discordo totalmente","menos coisa a ser resolvida ou tao complicada de se resolver","Concordo","Discordo totalmente","Discordo totalmente","Concordo","nota de avaliaçao tem que ser maior, so 3 pontos nao vale nem a pesquisa","Discordo totalmente","Discordo totalmente","Concordo plenamente","Concordo plenamente","melhora qualidade de audio e imagem","Concordo","Concordo plenamente","Discordo","Discordo totalmente","quando mandarem avaliaçoes quase impossiveis de resolver, possibilitar uma consulta","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Concordo","Concordo","cade o contato aluno e professor ? nao existe a menos que seja pela webgiz","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","MAIKE BARBOSA BRITO"
"","Concordo","Concordo","Concordo","Concordo","encontro dificuldades devido ao fato da diferença de idade entre alunos no meu caso tenho 44 anos nao sou da geraçao tecnologica estou enfrentando dificuldades com relaçao aos mais jovens pois o tempo e muito curtom para a resoluçao de atividades.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","CRISTIANE DE FÁTIMA CARVALHO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","ALISSON BRUNO DE OLIVEIRA SILVA"
"","Concordo plenamente","Concordo","Concordo","Concordo","muito satisfeita.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","muito importante a WB, só não concordo com os horários.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","IVANICE ALVES DO AMARAL"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Não concordo nem discordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","MARCOS ANDRÉ RODRIGUES DA SILVA"
"","Não concordo nem discordo","Não concordo nem discordo","Discordo totalmente","Discordo","Alguns professores precisam ser mais objetivos, fazendo a correlação entre a teoria e a prática.","Discordo","Discordo totalmente","Discordo","Discordo","O tempo para responder é muito curto. As questões são muito longas e cansativas. E os objetivos nem sempre são claros.","Discordo","Discordo totalmente","Discordo","Discordo","Os professores precisam organizar melhor as atividades, inclusive com relação aos prazos de entrega.","Discordo totalmente","Discordo","Discordo","Discordo","As questões que são colocadas vem em forma de questionários intensos, tornando difícil interagir com os colegas. Não somente com relação tempo, mas também como a forma como são apresentadas para nós.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","A alguns professores falta domínio do conteúdo e nem sempre os horários permitem que todos os alunos possam participar.","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Com relação às questões abertas, as mesmas muitas vezes não valorizam o entendimento individual do aluno. E cobram decorar leis e nomes de autores estrangeiros, nem sempre sabemos escrevê-los.","Discordo","Discordo","Discordo","Não concordo nem discordo","Discordo totalmente","Discordo","As questões colocadas no fórum geral de dúvidas, muitas vezes não são respondidas pontualmente. E as salas virtuais não colaboram para que haja maior interação entre os alunos, porque as questões de alguns professores são mal elaboradas. E o material didático muitas vezes é bastante obsoleto e atividades precisam fazer sentido para o nós, afinal, precisamos trabalhar a teoria sempre em consonância com a prática. Sugiro pedir para alguns professores que realizem as tarefas antes de enviá-las, pois dá pra notar nitidamente que alguns nem leem o que escreveram, tornando as mesmas difíceis de responder,muito cansativas e nos faz perder o nosso precioso tempo.","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","MARIA DE JESUS DUARTE DE SOUZA"
"","Concordo plenamente","Concordo","Não concordo nem discordo","Concordo","Boa noite EU estou gostando muito de participar de um curso superior, pensei que por ser a distância eu conseguiria conciliar com a minha rotina,mas estar muito complicado, as professoras passam muito conteúdos pra serem lidos em muito pouco tempo e muitas vezes as avaliações não tem nada haver com que foi passado nas VA.","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","ADRIANA GOMES PEREIRA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","LARA GOMES DE SOUZA"
"","Concordo plenamente","Concordo","Concordo","Discordo","cobram muito mais deixam muito a desejar pois não corrigem nos trabalhos e a maioria esta sem nota e passam muito conteúdo sem explicação","Concordo","Discordo","Concordo","Discordo","muito conteúdo parecido e de difícil compreenção","Concordo","Concordo","Concordo","Discordo","passam muito conteúdo focam em algumas partes e na hora da prova colocam um conteúdo que quase não foi falado","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","JOSILANE LOPES DA SILVA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo totalmente","Não concordo nem discordo","Não concordo nem discordo","O tempo de entrega muitas das vezes são muito curtas,exemplo só o período da manha para entregar um atividade que envolve algorítimos,nao da para ser entregue.","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Discordo totalmente","Discordo totalmente","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","LUCAS ROCHA VERSIANI"
"","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","As vidio aula são bem aproveitada , sempre bem esplicado.","Concordo plenamente","Concordo","Concordo","Concordo","quando Ac e manuscrito o tem e curto .","Concordo","Concordo","Concordo plenamente","Concordo","A Al estar com prazo de responder bom .","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Os fórum estar de ótimo aprendizagem.","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","Os WB tinha que ser a noite .","Discordo","Concordo","Concordo plenamente","Concordo","As prova esta sendo ótima , compatível com a materia","Concordo plenamente","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","Nosso polo estar de parabéns , temos uma ótima tutora .","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","BRUNO MARTINS SOARES"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Discordo totalmente","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Belo Horozinte/Ribeirão das Neves","[D17] - Linguística - Letras Português","MAXLEY DE LIMA SANTANA"
"","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Acho que deveria ser disponibizado um tempo antes, quando o material para leitura for extensa, pois nem sempre tem computadores para todos.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Muitas vezes os horários disponibilzados para a transmissão não é um horário propício à todos.","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo","Alguns materiais, tipo algumas digitalizações dificulta a leitura.","Jequitinhonha","[D17] - Linguística - Letras Português","THIAGO XAVIER DOS SANTOS SILVA"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","AELSON FERREIRA DE ARAUJO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","CÉLIO LUIZ BARBOSA DE SOUZA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","DULCINEIA FERREIRA DA SILVA FERREIRA"
"","Concordo","Concordo","Discordo totalmente","Discordo","As vezes é muito puxado.","Concordo","Discordo","Concordo","Não concordo nem discordo","sem resposta","Discordo","Discordo totalmente","Discordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","FLÁVIA RODRIGUES DOS SANTOS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","AMANDA KAROLINY MOREIRA CARDOSO"
"","Concordo","Concordo","Discordo","Não concordo nem discordo","sem resposta","Discordo","Discordo totalmente","Concordo","Discordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","sem resposta","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Não concordo nem discordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","Concordo","sem resposta","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","GABRIELA BESSA MARQUES"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","O pólo não possui estrutura para realização de ACs que necessitam de programas de computadores específicos, pois poucos computadores funcionam e os que funcionam não disponibilizam acesso para que estdantes possam baixar progamas, sendo necessário senha do administrador.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","GABRIELLA APARECIDA SANTOS CASTRO"
"","Concordo","Concordo","Não concordo nem discordo","Discordo","ALGUNS PROFESSORES NÃO TÊM BOA DICÇÃO NEM CLAREZA.","Não concordo nem discordo","Discordo totalmente","Discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Discordo","Não concordo nem discordo","Discordo","NÃO TEMOS NENHUM SUPORTE, MUITO MATERIAL, ME SINTO PERDIDA.","Discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","OS FÓRUNS NÃO SÃO CORRIGIDOS, NÃO SEI SE POSSO DAR CREDIBILIDADE AS RESPOSTAS QUE LÁ ENCONTRO","Concordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","MUITAS VEZES O WB ACONTECE SEM NENHUM AVISO PRÉVIO, EM OUTRAS VEZES NÃO ACONTECE NA DATA PREVISTA. ALGUNS PROFESSORES SÃO BACANAS E CONSEGUEM ESCLARECER MUITAS DÚVIDAS, OUTROS NEM VALE A PENA ASSISTIR","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","QUERIA MUITO SABER O QUE ERREI, O QUE ACERTEI","Discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","LUCILENE AZEVEDO SILVA ROCHA"
"","Concordo","Concordo","Discordo","Discordo totalmente","Alguns professores não transmitem o conteúdo com clareza e segurança... é preciso rever a forma na qual as aulas da EAD são ministradas... ainda tem muito o que melhorar...","Concordo","Discordo","Concordo","Discordo","As AC deveriam ter mais participação dos professores no sentido de ampliar a assistência ao aluno e aos tutores de cada polo... em vais AC's muitas dúvidas surgiram e alguns professores não dão o retorno com as dúvidas e indagações dos alunos...","Concordo","Discordo","Concordo","Discordo","Algumas AI demanda a leitura de vários textos e em níveis distintos de compreensão e análise... cada aluno tem suas dificuldades de absorverem o conteúdo... alguns professores ao repassarem a AI não levam em consideração essas peculiaridades...","Concordo","Discordo","Discordo","Discordo","Alguns FD foram apenas a reprodução das AC's ou das AI não gerando nenhum conhecimento adicional ao aluno...","Concordo","Concordo","Concordo","Concordo","Os WB são marcados de forma apressada e sem uma notória e ampla divulgação para os alunos... muitos não participam por não terem conhecimento da data e horário... precisam ser mais planejados e divulgados para os alunos....","Discordo","Concordo","Discordo","Discordo","Algumas avaliações presenciais exigiam dos alunos mais a memorização de datas e leis e seus artigos que precisamente o entendimento conjunto dos conteúdos e suas análises conjunturais... Algumas destas avaliações não abordam enfaticamente os conteúdos que mais se trabalharam no decorrer das aulas, dando espaços para temas e assuntos pouco trabalhados em sala de aula e em atividades...","Discordo","Discordo","Discordo","Discordo","Não concordo nem discordo","Discordo","As SV não são espaços que os alunos utilizam efetivamente. Na verdade poucos dos meus colegas utilizam-nas. Não sei se todos sabem que cada disciplina tem um plano de ensino e que ele precisar ser analisado e de forma atenta seguida no decorre do curso... alguns planos de ensino apresentam referências bibliográficas desconexas ou completamente distintas das que utilizamos no decorrer de cada disciplina... há uma incompatibilidade entre o que se apresenta e o que se estuda efetivamente....","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","RENATO AQUINO NERI"
"","Não concordo nem discordo","Não concordo nem discordo","Discordo totalmente","Discordo","Muitos professores fazem da vídeo aula um momento monótono e n explicam com clareza o conteúdo, trazendo dificuldades no momento das atividades.","Não concordo nem discordo","Discordo","Discordo","Discordo","O tempo para postagem da AC poderia ser maior.","Discordo","Discordo","Discordo","Discordo","As AIs de algumas matérias estão divergentes com os conteúdos das vídeo aulas.","Discordo","Discordo","Discordo","Discordo","Os fóruns são minha principal crítica. Os professores estão fazendo dos fóruns local de atividades, a matéria da professora Francely msm temos que postar a mesma atividade colaborativa, portanto não é um fórum para discussão de conhecimentos e sim local para atividades. Eu msm n ando respondendo pq há fóruns via 7, 8 ou até mais perguntas, sendo impossível abrir para diálogo.","Não concordo nem discordo","Discordo","Não concordo nem discordo","Discordo","O horário dos wb estão incompatíveis com os alunos, visto que a maioria trabalha até 6, 7 da noite. Ficaria mais proveitoso a mudança de horário.","Discordo","Concordo","Discordo","Discordo","Nas questões abertas os professores pedem nomes de teóricos sendo que praticamente todos são estrangeiros e fica impossível a escrita e a memorização do msm.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","ANA CAROLINA GOMES"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Discordo","Concordo plenamente","Concordo","sem resposta","Concordo","Discordo totalmente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Discordo totalmente","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","DEBORA DE FREITAS BARBOSA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","SAULO THIAGO MONÇÃO SILVA"
